,state,year,precipitation
0,AC,1998,2296.1
1,AC,1999,2182.2000000000003
2,AC,2000,1703.5
3,AC,2001,1926.9
4,AC,2002,1909.9
5,AC,2003,1797.1000000000001
6,AC,2004,2090.4
7,AC,2005,1751.6999999999998
8,AC,2006,2054.6
9,AC,2007,1766.1999999999994
10,AC,2008,1841.4
11,AC,2009,2253.0999999999995
12,AC,2010,1766.4
13,AC,2011,1619.4
14,AC,2012,2689.4
15,AC,2013,2046.3000000000002
16,AC,2014,2400.2999999999997
17,AC,2015,2012.4
18,AC,2016,1681.7
19,AC,2017,1890.3000000000002
20,AM,1998,2200.3999999999996
21,AM,1999,2620.3000000000006
22,AM,2000,2599.5999999999995
23,AM,2001,1798.3999999999999
24,AM,2002,2322.1
25,AM,2003,1954.9
26,AM,2004,2056.8999999999996
27,AM,2005,2208.1000000000004
28,AM,2006,2304.7
29,AM,2007,2406.2
30,AM,2008,3157.0999999999995
31,AM,2009,1958.5
32,AM,2010,2171.8999999999996
33,AM,2011,2780.0000000000005
34,AM,2012,2311.9999999999995
35,AM,2013,2723.0
36,AM,2014,2564.0
37,AM,2015,1735.7
38,AM,2016,2295.0
39,AM,2017,2136.2
40,AP,1998,2275.0
41,AP,1999,2707.3
42,AP,2000,2701.8
43,AP,2001,2113.8
44,AP,2002,2488.1000000000004
45,AP,2003,1921.3000000000002
46,AP,2004,2701.3
47,AP,2005,2591.5
48,AP,2006,2820.0
49,AP,2007,2695.3
50,AP,2008,2353.2999999999997
51,AP,2009,2508.0
52,AP,2010,2415.6
53,AP,2011,2557.7
54,AP,2012,2153.2999999999997
55,AP,2013,2852.6
56,AP,2014,2528.7000000000007
57,AP,2015,2421.7999999999997
58,AP,2016,2489.9999999999995
59,AP,2017,2139.4
60,MA,1998,1459.8000000000002
61,MA,1999,2366.2
62,MA,2000,2765.2
63,MA,2001,2479.6
64,MA,2002,1888.4
65,MA,2003,2370.5
66,MA,2004,2496.7999999999997
67,MA,2005,1803.3
68,MA,2006,2354.2000000000003
69,MA,2007,1899.0000000000002
70,MA,2008,2599.8000000000006
71,MA,2009,2847.8
72,MA,2010,1755.6000000000001
73,MA,2011,2713.2999999999997
74,MA,2012,1133.2
75,MA,2013,1594.2
76,MA,2014,1833.9
77,MA,2015,1507.2
78,MA,2016,1543.3000000000004
79,MA,2017,2198.8
80,MT,1998,1611.8
81,MT,1999,1611.8000000000002
82,MT,2000,1249.0
83,MT,2001,1225.8
84,MT,2002,1172.5
85,MT,2003,1371.7
86,MT,2004,1177.0
87,MT,2005,966.5000000000001
88,MT,2006,1517.7
89,MT,2007,1604.0
90,MT,2008,604.9
91,MT,2009,954.1999999999999
92,MT,2010,1596.4999999999998
93,MT,2011,1673.0000000000002
94,MT,2012,1620.1
95,MT,2013,1524.4000000000003
96,MT,2014,1676.5000000000002
97,MT,2015,1382.3999999999999
98,MT,2016,1625.9
99,MT,2017,1314.2
100,PA,1998,2932.4999999999995
101,PA,1999,2680.2000000000003
102,PA,2000,3352.1000000000004
103,PA,2001,3304.2
104,PA,2002,2856.0
105,PA,2003,2769.3999999999996
106,PA,2004,2940.2000000000003
107,PA,2005,3528.5
108,PA,2006,3663.8
109,PA,2007,3286.2000000000003
110,PA,2008,3339.5999999999995
111,PA,2009,3463.5999999999995
112,PA,2010,3065.2999999999997
113,PA,2011,3592.2000000000003
114,PA,2012,3563.0
115,PA,2013,3775.6
116,PA,2014,3598.4
117,PA,2015,3445.1999999999994
118,PA,2016,3416.4
119,PA,2017,3320.5000000000005
120,RR,1998,2187.5
121,RR,1999,2051.1
122,RR,2000,1933.4999999999998
123,RR,2001,1325.3
124,RR,2002,1615.5
125,RR,2003,1606.0
126,RR,2004,1860.7
127,RR,2005,2140.7999999999997
128,RR,2006,2492.7000000000003
129,RR,2007,2112.7000000000003
130,RR,2008,2063.7
131,RR,2009,1226.1000000000001
132,RR,2010,2023.8
133,RR,2011,2238.7999999999997
134,RR,2012,1559.9
135,RR,2013,1850.6999999999998
136,RR,2014,1268.2
137,RR,2015,1312.7
138,RR,2016,1697.2
139,RR,2017,1394.7
140,TO,1998,1481.1999999999998
141,TO,1999,2280.6000000000004
142,TO,2000,2206.0000000000005
143,TO,2001,2171.5
144,TO,2002,1696.7999999999997
145,TO,2003,2043.6999999999998
146,TO,2004,1895.2
147,TO,2005,1791.7
148,TO,2006,2149.3
149,TO,2007,1743.7
150,TO,2008,1710.3
151,TO,2009,1921.3
152,TO,2010,1805.6
153,TO,2011,2005.6999999999998
154,TO,2012,1497.8999999999999
155,TO,2013,1849.3000000000002
156,TO,2014,1843.9
157,TO,2015,1393.7
158,TO,2016,1270.5
159,TO,2017,1320.6999999999998
